buis,"[1000.0, 145]"
oceans,"[0.027893760973079117, 62]"
aqua,"[0.027885281193807253, 111]"
818,"[0.027841223195984092, 152]"
coastline,"[0.027792843161264583, 66]"
greenhouse,"[0.027718629349832036, 377]"
scientist,"[0.027433658421419076, 926]"
aircraft,"[0.02735969558454171, 194]"
polar,"[0.027229260222896158, 232]"
map,"[0.027153489045242715, 319]"
latitude,"[0.02713478788062508, 140]"
snowfall,"[0.02706653860526764, 54]"
studies,"[0.027047783807468022, 133]"
gulf,"[0.026983146628912536, 66]"
habitat,"[0.026978113091896416, 79]"
wildlife,"[0.02689735261813493, 51]"
imaging,"[0.02685451662304369, 134]"
electricity,"[0.026753635562804155, 69]"
science,"[0.02672792899644063, 813]"
microwave,"[0.02667486952081251, 114]"
flood,"[0.026544754394319522, 259]"
minimum,"[0.026493020477250266, 85]"
mr.,"[0.026455485216161107, 237]"
programme,"[0.02643225002444476, 189]"
youth,"[0.026404584703381483, 63]"
pollutant,"[0.026264172657556886, 74]"
directorate,"[0.026215904056391886, 109]"
sensor,"[0.02620394839247935, 183]"
nutrient,"[0.02609611642496742, 54]"
atlantic,"[0.026057784996661743, 137]"
hemisphere,"[0.025899225998214835, 109]"
radiation,"[0.02588801569761548, 126]"
maximum,"[0.025818669114849195, 87]"
coal,"[0.02577198004131771, 89]"
altitude,"[0.025701918179384293, 127]"
headquarters,"[0.025650404545757743, 190]"
onboard,"[0.025646710116856215, 62]"
thermal,"[0.025589116470569433, 108]"
island,"[0.025396704543194516, 243]"
marine,"[0.025315172961420242, 145]"
mountain,"[0.025245643908335936, 128]"
planet,"[0.025235174419861773, 608]"
surface,"[0.025174052847423686, 686]"
indian,"[0.025163782177825708, 58]"
advanced,"[0.025096292318136634, 83]"
sustainability,"[0.02502292813973221, 68]"
coastal,"[0.02497759314204639, 176]"
mitigation,"[0.024676724353141843, 82]"
pick,"[0.024667068589304637, 80]"
pathfinder,"[0.024623819467839054, 68]"
