buis,"[1000.0, 145]"
sensor,"[0.025373426064708108, 179]"
analysis,"[0.025284263308338557, 239]"
advanced,"[0.025229855105812, 82]"
degree,"[0.024949797096984652, 199]"
pathfinder,"[0.024623819467839054, 68]"
station,"[0.024541528472498644, 222]"
height,"[0.02428583172687834, 175]"
circulation,"[0.024076939288810852, 113]"
202,"[0.023854055046655085, 55]"
variability,"[0.02379585808092213, 88]"
observation,"[0.023733776619459374, 457]"
retreat,"[0.023725556088415013, 73]"
spatial,"[0.023674818582232734, 62]"
geological,"[0.023628843578027706, 69]"
equator,"[0.02360226181346673, 63]"
seawater,"[0.023567408261200958, 60]"
centimeter,"[0.023498830428431167, 79]"
sunlight,"[0.02338297479990677, 163]"
laboratory,"[0.023370152970876697, 623]"
meter,"[0.023263292019445048, 197]"
mountain,"[0.023201073794267484, 108]"
desert,"[0.023196076795388598, 77]"
satellites,"[0.022906851528196052, 69]"
concentration,"[0.02265486358138212, 167]"
clouds,"[0.022637506456186018, 56]"
salt,"[0.022598393692939218, 63]"
plant,"[0.022551249373579278, 226]"
1980,"[0.022403616692871726, 56]"
emit,"[0.022139358601005545, 129]"
website,"[0.022115687062959053, 85]"
model,"[0.02187852822256618, 480]"
boulder,"[0.02173895589247992, 93]"
vantage,"[0.021697419310159186, 59]"
space,"[0.021681726742283264, 831]"
storage,"[0.021592226203542217, 64]"
island,"[0.021552315119564514, 126]"
absorb,"[0.021309349384837573, 200]"
a.m.,"[0.021282731310241984, 62]"
wet,"[0.02127126179039466, 66]"
center,"[0.021262854092676975, 675]"
354,"[0.021217904973347957, 148]"
flight,"[0.021117107497070856, 487]"
weather,"[0.021105888774760453, 385]"
rain,"[0.02106686268364149, 153]"
heat,"[0.021034044959718536, 304]"
pulse,"[0.02101407677698089, 65]"
video,"[0.021003325418967576, 93]"
cycle,"[0.020945573832533697, 261]"
coastal,"[0.020847327462642604, 126]"
dense,"[0.02079866051841743, 58]"
modern,"[0.020776115853090044, 70]"
global,"[0.020729213783503057, 717]"
continental,"[0.020722967993689723, 52]"
spin,"[0.020705234915769574, 68]"
hole,"[0.020660106431875273, 79]"
imagery,"[0.020628999946186007, 100]"
simulate,"[0.02052666132875813, 60]"
letters,"[0.02050341532194964, 68]"
core,"[0.020467570430864487, 55]"
valley,"[0.020417773730256977, 62]"
aerospace,"[0.020394701899238196, 96]"
california,"[0.020376869323579707, 553]"
study,"[0.020367312683612065, 700]"
dr.,"[0.020357551057929683, 81]"
layer,"[0.02034923772834587, 202]"
jet,"[0.020322498879636042, 554]"
ton,"[0.020311539290754892, 61]"
forecast,"[0.020270625192457932, 205]"
md.,"[0.02024754912406322, 115]"
monitoring,"[0.02023985669264151, 61]"
composition,"[0.020192670471766833, 66]"
rocket,"[0.02018813077314927, 73]"
launch,"[0.020095854723400957, 388]"
mile,"[0.019924269181310243, 377]"
social,"[0.01992001357417839, 54]"
download,"[0.01990900581654521, 55]"
scenario,"[0.019876133322710918, 55]"
marine,"[0.01982149745368167, 103]"
wave,"[0.019736155097394407, 126]"
burn,"[0.019732412252761507, 161]"
mass,"[0.019661854440207738, 150]"
behavior,"[0.01956949189360033, 61]"
fossil,"[0.01952249574526484, 94]"
gas,"[0.01943970747517408, 338]"
agricultural,"[0.019423486244373067, 95]"
hampton,"[0.0193375725877238, 84]"
oceanic,"[0.01930913596931746, 172]"
scientific,"[0.01930899817329391, 268]"
percent,"[0.019233387180537683, 370]"
greenbelt,"[0.01912047901082133, 299]"
data,"[0.01903379071704141, 160]"
dry,"[0.019019505554672567, 157]"
stream,"[0.018966767962309693, 112]"
exploration,"[0.018906850112144928, 71]"
flow,"[0.018852213038949604, 186]"
fuel,"[0.018730101685447084, 172]"
variation,"[0.018722520151223308, 143]"
unusually,"[0.01872251830440775, 55]"
oxygen,"[0.018645688134608755, 54]"
ship,"[0.01855579306917869, 89]"
density,"[0.018536989963734984, 53]"
sun,"[0.01851256876546843, 187]"
continent,"[0.018494295346291538, 97]"
media,"[0.01847207756202733, 67]"
projection,"[0.018458272084633888, 80]"
winter,"[0.018445017630398856, 176]"
vertical,"[0.018434536324337013, 62]"
2016,"[0.018266702621229317, 139]"
passive,"[0.018206639265755258, 57]"
energy,"[0.018205073169688703, 268]"
colorado,"[0.01818510435645674, 142]"
africa,"[0.018143598663480188, 101]"
campaign,"[0.018130554095723377, 190]"
2017,"[0.018100545184730303, 124]"
researcher,"[0.018071746800326163, 457]"
p.m.,"[0.018050285887709277, 56]"
extreme,"[0.018028329252186025, 131]"
2012,"[0.017937172946543355, 158]"
2019,"[0.01793176597242127, 57]"
visible,"[0.017902205928376394, 118]"
phase,"[0.01789341888280725, 71]"
coast,"[0.017885889794285802, 178]"
institute,"[0.01779347922853584, 247]"
chemical,"[0.017758814162371333, 107]"
severe,"[0.017734324716476013, 96]"
scientists,"[0.01769464956557075, 243]"
chemistry,"[0.017692314450179377, 65]"
thin,"[0.017668462418006577, 125]"
thick,"[0.017661954097713338, 112]"
inch,"[0.017641253251505944, 128]"
student,"[0.01763561701677387, 82]"
formation,"[0.01757572992170342, 80]"
cool,"[0.017555716595703968, 227]"
cole,"[0.017535221056747822, 60]"
level,"[0.017503489988636503, 499]"
february,"[0.017424817900678822, 95]"
pole,"[0.01741856815571352, 108]"
seasonal,"[0.01738645629896089, 116]"
beneath,"[0.017355551853762478, 82]"
frequency,"[0.01727712383552318, 68]"
april,"[0.017272804507055702, 111]"
quantify,"[0.017206289929757486, 101]"
northwest,"[0.01719847840303703, 60]"
aboard,"[0.017179056606882036, 138]"
camera,"[0.017163166364477685, 72]"
southern,"[0.01714350168157068, 186]"
liquid,"[0.016923221134934767, 57]"
change,"[0.016886362630267975, 921]"
trend,"[0.01688176892734089, 201]"
fly,"[0.016857108684662794, 272]"
maryland,"[0.01685644703999681, 232]"
inside,"[0.01673242683008772, 69]"
pattern,"[0.016695806867929916, 282]"
acquire,"[0.016645531289479612, 88]"
2013,"[0.016627074410648045, 113]"
accumulate,"[0.01659514918446718, 61]"
bay,"[0.016578745821311924, 62]"
agriculture,"[0.016559774609167747, 88]"
validate,"[0.016473631855874783, 67]"
indicator,"[0.01647340980355738, 66]"
depth,"[0.016407465164904246, 110]"
june,"[0.016394979884948292, 115]"
detect,"[0.016370509486779653, 190]"
animal,"[0.01634548696088337, 81]"
2018,"[0.016297432741023334, 116]"
2000,"[0.016277170669632957, 75]"
observe,"[0.016276108400622113, 445]"
august,"[0.01624451137264642, 139]"
monitor,"[0.01620196847459572, 343]"
float,"[0.016196886529670804, 93]"
hot,"[0.016196378491648462, 117]"
asia,"[0.01616997474665099, 76]"
quality,"[0.016145158583026422, 164]"
southeast,"[0.016101825274451306, 54]"
virginia,"[0.016077677292014647, 125]"
panel,"[0.016039171319920158, 84]"
precision,"[0.016036777204361828, 61]"
german,"[0.016025741684655093, 69]"
reduction,"[0.016000750217908734, 56]"
cold,"[0.01599213116726402, 175]"
trap,"[0.015989820334460305, 108]"
research,"[0.015962330968764843, 759]"
resolution,"[0.015958165532995543, 265]"
operational,"[0.01595309881667801, 80]"
band,"[0.015893470718903003, 59]"
ground,"[0.015867922343403933, 53]"
insight,"[0.01583504792023187, 134]"
freeze,"[0.015820170834586773, 133]"
record,"[0.015803762720833392, 433]"
accuracy,"[0.015751372695633252, 101]"
2015,"[0.015721504971474228, 158]"
medium,"[0.015720936948777135, 88]"
intensity,"[0.015684369823636028, 66]"
prediction,"[0.015681689274561317, 158]"
method,"[0.015633067291256166, 94]"
survey,"[0.015601337564095175, 171]"
technique,"[0.015598224442152314, 122]"
shrink,"[0.0155719578539561, 75]"
upper,"[0.015552071373886308, 98]"
technology,"[0.015546525641899313, 276]"
update,"[0.01552326165862248, 93]"
rapidly,"[0.015515203315959337, 136]"
disappear,"[0.015514483082309263, 51]"
unprecedented,"[0.01549929818991786, 96]"
adapt,"[0.015402630349799568, 69]"
sink,"[0.015327478021406766, 88]"
related,"[0.015319237122049236, 66]"
experiment,"[0.015262879315968803, 220]"
derive,"[0.015252917306718012, 66]"
air,"[0.015234233635146992, 500]"
sciences,"[0.015226807442015057, 133]"
landscape,"[0.015217874437250636, 70]"
select,"[0.015176522473628409, 61]"
continuous,"[0.01517277965875568, 55]"
normal,"[0.015164749601925945, 110]"
evolution,"[0.015140482157869535, 52]"
