buis,"[1000.0, 145]"
north,"[0.01007725436340288, 292]"
fast,"[0.010065570339039872, 242]"
reveal,"[0.010065339166223453, 156]"
industrial,"[0.010063817065858354, 77]"
tend,"[0.010062399957398155, 68]"
complex,"[0.010059222795556265, 154]"
connection,"[0.010053319104000064, 66]"
current,"[0.01005097771326036, 307]"
division,"[0.01004234451073015, 127]"
roughly,"[0.010016502032725402, 67]"
maker,"[0.009979620497562965, 52]"
bear,"[0.009961088476246851, 56]"
standard,"[0.009959351230193134, 64]"
number,"[0.009956793243487796, 59]"
combine,"[0.009954322239649559, 256]"
reflect,"[0.009942340534900652, 176]"
date,"[0.009923784697453393, 107]"
advance,"[0.009908077448198339, 194]"
states,"[0.009905042184061285, 221]"
usually,"[0.009888020130009117, 64]"
range,"[0.009883610025971934, 263]"
powerful,"[0.009882559715516761, 82]"
contribute,"[0.009880149189675854, 258]"
damage,"[0.009877171546635071, 92]"
relatively,"[0.009869492998681395, 130]"
reduce,"[0.009834848771570372, 204]"
store,"[0.009828964910120568, 154]"
document,"[0.009825078679062526, 69]"
according,"[0.009807341916414969, 102]"
specifically,"[0.009799150538977291, 58]"
foundation,"[0.009788379511871613, 69]"
apart,"[0.00978695789476677, 53]"
access,"[0.009781274837618275, 75]"
associate,"[0.009762973231109464, 165]"
spread,"[0.009761053904371162, 95]"
separate,"[0.009754701895605115, 64]"
form,"[0.009750361384241452, 244]"
season,"[0.00975028396712397, 237]"
second,"[0.009745203807681109, 56]"
industry,"[0.009732169913277766, 81]"
public,"[0.009690018374568106, 127]"
2006,"[0.009666774326275421, 52]"
publish,"[0.009641794544218896, 295]"
rely,"[0.009624198024994255, 87]"
essential,"[0.009599001806560368, 71]"
rich,"[0.009597242863877652, 54]"
report,"[0.009587111366504985, 172]"
food,"[0.009582051503113151, 110]"
college,"[0.009562040151377186, 58]"
2007,"[0.00955634440566992, 85]"
original,"[0.009553819910635926, 68]"
consequence,"[0.009521366566391989, 61]"
70,"[0.009483197201235086, 78]"
manager,"[0.00947307972121165, 191]"
department,"[0.009470612370885314, 98]"
ongoing,"[0.009460640547179405, 87]"
connect,"[0.009459072244871402, 69]"
society,"[0.009459000712716215, 74]"
response,"[0.009456056556034431, 135]"
show,"[0.009447918611132968, 421]"
originally,"[0.009447644782445292, 52]"
90,"[0.009432471125369168, 72]"
200,"[0.00942701130683836, 65]"
protect,"[0.009426529131684895, 100]"
conclude,"[0.009413448471039807, 56]"
middle,"[0.00941152026615458, 77]"
expert,"[0.009410935037084431, 62]"
deliver,"[0.009409847703852182, 60]"
spot,"[0.009397637630698737, 80]"
arrive,"[0.00938360436348693, 58]"
9,"[0.009377519171393726, 113]"
previously,"[0.009375833004845352, 128]"
administration,"[0.00936592880680323, 155]"
carry,"[0.009358994699467483, 185]"
talk,"[0.009355278602484716, 82]"
credit,"[0.009350744501980295, 69]"
management,"[0.009339652846241494, 107]"
depend,"[0.009337686781687619, 120]"
night,"[0.009336276520213875, 71]"
evidence,"[0.00932940176771321, 114]"
identify,"[0.009329071172644123, 122]"
property,"[0.00932401471712149, 99]"
warn,"[0.009321423851841013, 51]"
detail,"[0.00930811728598965, 241]"
piece,"[0.00929578801292908, 83]"
complete,"[0.009285546480193172, 180]"
contact,"[0.00927309366881881, 55]"
team,"[0.009270211811992739, 599]"
21,"[0.009259404772774074, 54]"
relate,"[0.009246327652321933, 150]"
job,"[0.009201689827922738, 55]"
true,"[0.009196634453870615, 52]"
generally,"[0.009179754602824705, 62]"
travel,"[0.009178381600694138, 123]"
thousand,"[0.00916939382853088, 137]"
completely,"[0.009152987458949732, 68]"
total,"[0.009152329388464506, 182]"
common,"[0.009138935874403717, 74]"
2008,"[0.009137457354102301, 76]"
essentially,"[0.009124252893619598, 59]"
mix,"[0.00911354346060588, 70]"
international,"[0.009113029399891651, 286]"
7,"[0.009110612279269254, 106]"
upcoming,"[0.009101710288182274, 55]"
highly,"[0.009089989945778134, 90]"
apply,"[0.009089553382012528, 71]"
provide,"[0.009088537188388396, 571]"
ultimately,"[0.009057210758128435, 91]"
partner,"[0.009056278776964629, 101]"
present,"[0.009050680555135731, 159]"
today,"[0.009049482608314102, 227]"
explain,"[0.009048724065328773, 154]"
program,"[0.009046310543459684, 338]"
broad,"[0.00902426639928189, 88]"
wide,"[0.009014869771795626, 132]"
million,"[0.008996239907584207, 253]"
story,"[0.008989547303593727, 88]"
edge,"[0.008967511915236136, 87]"
drop,"[0.008964155749170179, 99]"
lie,"[0.008958207535704161, 69]"
eventually,"[0.008955023933660258, 72]"
represent,"[0.00895046950059692, 128]"
national,"[0.00894483557733119, 419]"
body,"[0.008914364654178933, 62]"
80,"[0.008913476684917158, 71]"
inform,"[0.008909434480672225, 66]"
example,"[0.008900352541642906, 264]"
hundred,"[0.008881306446992223, 95]"
advantage,"[0.008857537343397635, 58]"
perform,"[0.008851411708354729, 70]"
word,"[0.008846248746960196, 70]"
16,"[0.008832130897115693, 82]"
school,"[0.008808993181565026, 62]"
united,"[0.00880228779594498, 283]"
8,"[0.008793159930189134, 109]"
particular,"[0.008791853883116213, 110]"
60,"[0.008779578810712107, 59]"
currently,"[0.008735716494457339, 225]"
expand,"[0.008726695891347464, 119]"
tie,"[0.008724419895968406, 53]"
idea,"[0.008718994656486026, 102]"
offer,"[0.008715545740054445, 106]"
learn,"[0.008709998098870167, 231]"
release,"[0.008699383669645584, 218]"
17,"[0.00869210163460162, 64]"
value,"[0.00869171035865805, 92]"
potential,"[0.008685429380558001, 184]"
different,"[0.008658649760558529, 394]"
exchange,"[0.008656015178719627, 53]"
main,"[0.00864129394133079, 103]"
target,"[0.008638909515966534, 97]"
community,"[0.008599305663134733, 187]"
strong,"[0.00859621883819486, 209]"
operate,"[0.008595652578256627, 170]"
schedule,"[0.008587874731340053, 133]"
policy,"[0.008581060675689407, 68]"
determine,"[0.008558828451481235, 219]"
reach,"[0.008509577115336533, 287]"
massive,"[0.008504116831005895, 95]"
accord,"[0.008485951147627237, 199]"
state,"[0.008479357853358668, 296]"
entire,"[0.008473447020262826, 178]"
series,"[0.008470755279523338, 187]"
city,"[0.008469321686524506, 130]"
organization,"[0.008460262651290119, 91]"
question,"[0.008459695945659543, 239]"
simple,"[0.008457208810586892, 60]"
25,"[0.008430060247660284, 110]"
remove,"[0.00842797436286387, 75]"
pretty,"[0.008405771908946568, 76]"
large,"[0.008401622016507881, 559]"
approach,"[0.008400602481244893, 131]"
refer,"[0.008396932084946797, 53]"
special,"[0.008393795744239962, 51]"
mark,"[0.00835480348042537, 92]"
individual,"[0.008349465759012843, 108]"
particularly,"[0.008329948892639067, 141]"
investigate,"[0.008319981457571539, 79]"
directly,"[0.008311126434988627, 113]"
quarter,"[0.008301509380033337, 51]"
huge,"[0.008297961336600929, 98]"
prevent,"[0.008297708618326084, 56]"
use,"[0.008295081260444703, 517]"
role,"[0.008284504169020664, 217]"
significant,"[0.008271406202645628, 212]"
twice,"[0.008270538028550125, 51]"
account,"[0.00826686142559657, 147]"
specific,"[0.008264755377164191, 97]"
billion,"[0.008257689849317691, 115]"
conduct,"[0.008255856162038484, 113]"
establish,"[0.008251617516666391, 81]"
age,"[0.008247158866786413, 85]"
wrong,"[0.008236634113268608, 68]"
certain,"[0.008223075168822704, 98]"
break,"[0.008210371447375228, 136]"
relationship,"[0.00818675010691825, 71]"
country,"[0.008168853845014997, 146]"
park,"[0.008150209781251526, 72]"
describe,"[0.00814273433118553, 78]"
health,"[0.008141636549213663, 151]"
push,"[0.008133496768986151, 104]"
cost,"[0.008133115162648408, 78]"
production,"[0.008120317652394744, 75]"
compare,"[0.008106328626514555, 242]"
ability,"[0.0080935039125139, 162]"
pull,"[0.008089619014323896, 87]"
surprise,"[0.00807741879207037, 102]"
sense,"[0.008069693428897327, 173]"
keep,"[0.008060513224443374, 112]"
result,"[0.008055976456674604, 467]"
overall,"[0.008054012504361746, 121]"
benefit,"[0.008053155469895257, 120]"
addition,"[0.008027327396075458, 196]"
term,"[0.008026223039495047, 348]"
recent,"[0.00800582855567506, 247]"
100,"[0.007997157390635489, 109]"
step,"[0.007996689511545517, 110]"
challenge,"[0.007977703596646825, 179]"
local,"[0.007974955396325893, 181]"
quickly,"[0.007964869007673191, 130]"
probably,"[0.007948053855390567, 73]"
important,"[0.007946382631317377, 409]"
gain,"[0.007945912796960082, 105]"
18,"[0.007940512344690332, 71]"
confirm,"[0.007928010374314074, 63]"
maintain,"[0.00792225859004826, 78]"
near,"[0.007899359789131881, 310]"
suggest,"[0.007897949903327142, 138]"
create,"[0.007892094677153672, 306]"
send,"[0.007890354984836355, 96]"
direct,"[0.007883633170885003, 116]"
union,"[0.00787549907376023, 52]"
action,"[0.007871187984532905, 51]"
appear,"[0.007865657985791539, 153]"
couple,"[0.00786220221244295, 66]"
non,"[0.007861681458028347, 67]"
40,"[0.007853842587178023, 132]"
limit,"[0.007852745345014695, 147]"
12,"[0.007845610739122228, 112]"
past,"[0.007845339584682061, 315]"
control,"[0.00783517357626898, 135]"
respond,"[0.0078085666504599666, 133]"
small,"[0.00779769664276249, 391]"
largely,"[0.007784221819016632, 67]"
watch,"[0.007776069309027555, 92]"
fill,"[0.007770875545667562, 97]"
receive,"[0.007758322408172092, 86]"
6,"[0.0077563485865422355, 114]"
soon,"[0.007752927342753196, 63]"
join,"[0.007748255292652529, 72]"
ensure,"[0.0077282590666032935, 68]"
address,"[0.007675727919771906, 81]"
general,"[0.007673400101166876, 60]"
grow,"[0.007668660573285131, 269]"
interest,"[0.007658144190405304, 165]"
effort,"[0.007613654246607043, 202]"
history,"[0.007605598155423376, 89]"
short,"[0.007596208159235246, 198]"
likely,"[0.0075919046784204275, 240]"
outside,"[0.007564455521586015, 78]"
14,"[0.007534047909104785, 73]"
free,"[0.007514608586218957, 99]"
experience,"[0.007512722736308092, 184]"
draw,"[0.007511365611795451, 63]"
final,"[0.007509329662021686, 78]"
single,"[0.00749591136756586, 120]"
prepare,"[0.007495324351495517, 93]"
pass,"[0.007481443153355314, 116]"
11,"[0.00747620398464249, 83]"
possible,"[0.007455474181730411, 207]"
matt,"[0.0074551278860971355, 94]"
enter,"[0.007429348666929621, 71]"
john,"[0.007374369215046856, 57]"
similar,"[0.007353449510951398, 171]"
actually,"[0.007353058555218989, 136]"
focus,"[0.007339863061533385, 204]"
sit,"[0.0073367190372629065, 54]"
50,"[0.007334542749813493, 145]"
basis,"[0.007333308335868156, 53]"
numb,"[0.007331845910406274, 164]"
able,"[0.007292385033211552, 298]"
exist,"[0.007289695507666806, 145]"
double,"[0.007285890811880652, 79]"
problem,"[0.007285381207040363, 161]"
fine,"[0.007279325142756203, 64]"
hour,"[0.00726381595509198, 151]"
opportunity,"[0.007262996909330614, 96]"
13,"[0.007260512435799723, 54]"
lose,"[0.0072365093982190865, 181]"
sign,"[0.007235073515571358, 88]"
service,"[0.007230744801366493, 107]"
forward,"[0.007220824569714701, 89]"
share,"[0.007214606388229042, 88]"
decision,"[0.007200546588912185, 96]"
high,"[0.007190176991120867, 623]"
prove,"[0.007190045009470958, 63]"
life,"[0.007186676681456991, 175]"
fund,"[0.007181917267165668, 189]"
let,"[0.007147782849964459, 79]"
office,"[0.0071424190545648445, 110]"
30,"[0.0071378189028312835, 177]"
15,"[0.007136135488866433, 168]"
key,"[0.007103157544666161, 254]"
clear,"[0.00710266155531597, 138]"
begin,"[0.007069623458546865, 416]"
world,"[0.0070685315702644315, 543]"
easy,"[0.0070571360038590505, 84]"
real,"[0.007054469121944326, 169]"
build,"[0.00704926043585119, 284]"
figure,"[0.0070177803903871926, 67]"
u.s.,"[0.007015588322600662, 346]"
base,"[0.007006192775137923, 538]"
recently,"[0.006993124786457992, 158]"
ask,"[0.006974323129700936, 97]"
drive,"[0.006971250092465877, 230]"
stage,"[0.006958815323914522, 51]"
act,"[0.0069373585794138045, 115]"
senior,"[0.006882324455820923, 69]"
5,"[0.006877666944167688, 167]"
line,"[0.006865485828894388, 132]"
force,"[0.006861069712294594, 175]"
half,"[0.006843916260682981, 200]"
spend,"[0.006835114648437963, 81]"
day,"[0.006833974202993146, 439]"
involve,"[0.0068318585422753675, 138]"
stand,"[0.006816881059291669, 70]"
head,"[0.0068130169669980535, 71]"
especially,"[0.006787489981882178, 138]"
american,"[0.006786658854872804, 104]"
difficult,"[0.006766850423771126, 124]"
happen,"[0.006748431972272778, 270]"
support,"[0.006744543093956871, 243]"
home,"[0.006735797123740941, 178]"
move,"[0.006729567451001512, 192]"
news,"[0.006726424952117076, 230]"
nearly,"[0.006716550993932257, 192]"
note,"[0.006711553622377307, 151]"
require,"[0.006689958594747675, 125]"
bite,"[0.00665616312172625, 63]"
4,"[0.006641933992920054, 160]"
continue,"[0.0066406951939281455, 409]"
stay,"[0.006600763564157976, 86]"
course,"[0.006596910895858535, 105]"
major,"[0.006589506377752913, 265]"
minute,"[0.006559645860345082, 71]"
1,"[0.006554683315465275, 197]"
mean,"[0.006546672764195841, 292]"
far,"[0.006527298865024343, 303]"
order,"[0.00652549788860508, 103]"
month,"[0.006520441775831549, 328]"
sure,"[0.006504257630888496, 69]"
find,"[0.006503984232790697, 498]"
live,"[0.006494052246051826, 257]"
3,"[0.006476558161630218, 147]"
fall,"[0.006455589404424015, 224]"
chief,"[0.006435164781651627, 67]"
20,"[0.006434093773837366, 193]"
raise,"[0.006384038527170609, 78]"
government,"[0.0063669268145699455, 69]"
goal,"[0.0063493634237843264, 124]"
see,"[0.006348802823158803, 300]"
case,"[0.006332243070042352, 142]"
lack,"[0.006327931777731197, 62]"
fact,"[0.006327422150864967, 149]"
help,"[0.006319145817065793, 556]"
rest,"[0.006316722245390858, 87]"
group,"[0.006278965279285831, 163]"
serve,"[0.006274661482829159, 71]"
reason,"[0.006251471781811112, 95]"
hand,"[0.006243166996886233, 82]"
great,"[0.006228285649180486, 274]"
lot,"[0.006225994706721978, 224]"
set,"[0.006171757306652788, 318]"
allow,"[0.006169049585858756, 354]"
hit,"[0.006165487859795545, 87]"
cut,"[0.006078782441189856, 54]"
consider,"[0.006072010814942061, 90]"
follow,"[0.0060683957902052475, 220]"
return,"[0.0060670913907083165, 137]"
despite,"[0.006052137344308312, 69]"
instead,"[0.006038210816182868, 98]"
place,"[0.00600998452236923, 315]"
thing,"[0.006009700862160539, 207]"
director,"[0.006000142332803715, 146]"
2,"[0.0059923775939945785, 397]"
feel,"[0.005987469999626483, 61]"
stop,"[0.005974643394352129, 76]"
lead,"[0.005912120470923549, 557]"
seven,"[0.00588462084988089, 75]"
concern,"[0.005792781119321147, 83]"
bring,"[0.005771659483023923, 204]"
hope,"[0.005771102363240339, 116]"
10,"[0.005717476870375769, 313]"
away,"[0.005711717522054811, 170]"
kind,"[0.005660040513207324, 147]"
turn,"[0.005656820449504074, 210]"
have,"[0.005652066822716248, 80]"
expect,"[0.005581895657219082, 283]"
hold,"[0.005581748361628805, 142]"
ago,"[0.005580923695953502, 140]"
issue,"[0.005564598241247361, 130]"
look,"[0.005559229820366098, 426]"
face,"[0.005552303433258742, 83]"
old,"[0.005540650764507388, 110]"
open,"[0.005514790444170443, 154]"
meet,"[0.00550610493259279, 116]"
big,"[0.0054896561721418345, 279]"
new,"[0.005449316025765226, 840]"
week,"[0.005373154432771339, 233]"
plan,"[0.005328102631180788, 226]"
member,"[0.005318326883389198, 84]"
remain,"[0.005316802575655847, 182]"
long,"[0.005316760880333662, 585]"
people,"[0.005292632353436106, 313]"
believe,"[0.005286817101276611, 94]"
hard,"[0.005243646950299039, 128]"
centre,"[0.005198800079051593, 83]"
work,"[0.0051577049967434525, 465]"
think,"[0.005144719832688349, 279]"
little,"[0.005137047522156133, 169]"
early,"[0.005098748532408631, 324]"
leave,"[0.005016347380399648, 197]"
point,"[0.0050085821954188705, 290]"
canada,"[0.0049614072561914085, 99]"
make,"[0.004921871002656718, 374]"
right,"[0.004898712923793455, 180]"
call,"[0.00489573666801929, 356]"
take,"[0.004840458731307851, 411]"
end,"[0.004835046952453796, 246]"
play,"[0.004832520565580093, 172]"
$,"[0.004829697790384468, 51]"
close,"[0.004827660934630933, 199]"
run,"[0.004815108103904989, 174]"
give,"[0.004808050960434462, 284]"
well,"[0.004787184232631056, 480]"
year,"[0.004759037319699469, 898]"
like,"[0.004738110539305011, 559]"
late,"[0.004712431822965449, 309]"
need,"[0.0046857744517944805, 400]"
add,"[0.00467415941878222, 253]"
know,"[0.004657359527310702, 487]"
way,"[0.004630131029996225, 445]"
start,"[0.004580699133407519, 298]"
good,"[0.004577527721197435, 188]"
want,"[0.004370028808597668, 164]"
tell,"[0.00430023746131517, 137]"
include,"[0.00427019025584803, 504]"
get,"[0.004266649895752158, 233]"
try,"[0.004119273456333198, 134]"
time,"[0.0038964614053776385, 761]"
go,"[0.003865354085787154, 313]"
come,"[0.0031987689948062272, 425]"
say,"[0.003164195835267084, 847]"
>,"[1.4165525215679698e-06, 1240]"
